1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd,SalePrice
1360,1360.0,3.0,No,1036,None,140,795,Unf,1918.0,3112,Gd,25419,174.0,0.0,16,4,8,1360,1918,1990,235000
796,358.0,3.0,No,735,BLQ,61,240,Unf,1922.0,1154,Gd,5436,40.0,0.0,96,8,4,796,1922,2007,125500
773,885.0,3.0,No,219,GLQ,554,431,Fin,1995.0,1658,TA,8000,69.0,0.0,84,5,6,773,1995,1996,188000
929,929.0,5.0,No,0,Unf,755,0,None,1980.0,2229,TA,5520,92.0,0.0,198,6,6,755,1912,1950,104000
899,0.0,3.0,No,450,ALQ,414,288,Fin,1967.0,899,Gd,7800,65.0,89.0,0,7,5,864,1967,2004,130000
1428,0.0,3.0,No,0,Unf,1428,480,Fin,2007.0,1428,Gd,11639,95.0,0.0,120,5,7,1428,2007,2008,182000
894,0.0,3.0,No,762,ALQ,102,440,Unf,1974.0,894,TA,13350,100.0,0.0,0,5,5,864,1974,1974,142500
778,0.0,2.0,No,403,ALQ,212,924,None,1966.0,778,TA,6900,71.0,0.0,25,6,5,740,1940,1955,120500
1005,978.0,3.0,No,694,GLQ,284,490,Fin,1999.0,1983,Gd,10762,69.0,344.0,0,5,7,978,1999,1999,225000
1535,0.0,4.0,None,0,None,0,400,Unf,1979.0,1535,TA,7018,64.0,0.0,0,5,5,0,1979,1979,118858
1112,0.0,3.0,No,120,BLQ,736,271,Unf,1950.0,1668,TA,9600,80.0,0.0,0,8,6,856,1950,2005,140000
864,0.0,2.0,No,167,Rec,697,572,Unf,1957.0,864,TA,8172,60.0,0.0,0,7,5,864,1955,1990,115000
810,672.0,3.0,No,156,BLQ,516,400,Unf,1934.0,1482,Fa,12155,69.0,0.0,0,8,6,672,1925,1950,140000
970,739.0,3.0,No,0,Unf,970,380,Unf,2004.0,1709,Gd,2522,24.0,50.0,40,5,7,970,2004,2004,130000
612,612.0,2.0,Av,294,GLQ,318,528,RFn,2009.0,1224,Gd,3000,30.0,76.0,234,5,6,612,2009,2009,173733
816,0.0,2.0,No,816,None,0,816,Fin,1985.0,816,TA,6600,60.0,0.0,0,8,5,816,1982,2003,138000
1684,0.0,2.0,No,28,GLQ,1656,564,RFn,2005.0,1684,Ex,8849,63.0,616.0,72,5,9,1684,2005,2005,266000
684,512.0,3.0,Mn,0,Unf,684,528,Unf,2005.0,1196,Gd,12354,67.0,0.0,46,8,6,684,1920,2000,110000
1200,0.0,3.0,No,334,ALQ,322,521,RFn,1995.0,1200,Gd,11249,105.0,0.0,26,5,6,1200,1995,1995,177500
988,0.0,3.0,No,534,BLQ,246,276,Unf,1950.0,988,TA,7200,60.0,0.0,80,7,5,876,1950,1950,119000
4692,950.0,3.0,Gd,5644,GLQ,466,1418,Fin,2008.0,5642,Ex,63887,313.0,796.0,292,5,10,6110,2008,2008,160000
1118,0.0,3.0,Av,522,ALQ,574,358,Fin,1977.0,1118,TA,9880,76.0,0.0,0,6,6,1096,1977,1977,171000
2633,0.0,2.0,Gd,1282,GLQ,1351,804,RFn,2001.0,2633,Ex,11400,69.0,705.0,140,5,10,2633,2001,2002,466500
520,600.0,2.0,No,0,Unf,600,480,RFn,2005.0,1200,Gd,3180,30.0,0.0,166,5,7,600,2005,2005,151000
1145,0.0,2.0,No,16,GLQ,1129,397,Fin,2005.0,1145,Gd,3182,43.0,11.0,16,5,7,1145,2005,2006,160200
1973,0.0,3.0,Av,0,Unf,1935,895,Fin,2006.0,1973,Gd,14226,110.0,375.0,45,5,8,1935,2006,2006,395000
1567,0.0,2.0,Gd,1567,ALQ,0,714,RFn,1977.0,1567,Gd,9819,69.0,0.0,32,5,6,1567,1977,1977,196000
1136,1332.0,4.0,Av,970,GLQ,166,872,None,2004.0,2468,Gd,12099,99.0,388.0,154,5,8,1136,2004,2004,354000
1053,0.0,3.0,No,806,ALQ,247,312,RFn,1959.0,1053,Gd,10007,72.0,54.0,0,7,5,1053,1959,2006,145500
2110,0.0,3.0,No,1065,ALQ,1045,522,Fin,1968.0,2110,Ex,11160,93.0,0.0,0,5,7,2110,1968,1968,244000
1105,1169.0,5.0,No,443,Rec,662,480,None,1960.0,2274,TA,11600,80.0,361.0,0,5,5,1105,1960,1960,154300
1464,0.0,3.0,Av,444,ALQ,76,480,RFn,1997.0,1464,TA,12886,70.0,0.0,0,6,5,520,1963,1999,175000
1383,0.0,3.0,No,565,Rec,818,292,None,1960.0,1383,TA,11600,80.0,175.0,45,5,6,1383,1960,1960,145250
774,1194.0,4.0,No,0,None,774,680,Fin,2009.0,1968,Ex,12003,92.0,84.0,75,5,8,774,2009,2010,269500
1032,220.0,3.0,No,280,BLQ,752,288,Unf,1950.0,1252,TA,9600,80.0,0.0,0,5,6,1032,1950,1950,119000
1372,1274.0,3.0,Gd,987,GLQ,360,656,RFn,1993.0,2646,Gd,9900,90.0,256.0,60,5,7,1347,1993,1993,260000
1537,0.0,3.0,No,0,None,1319,462,RFn,1962.0,1537,Gd,8400,80.0,237.0,36,9,6,1319,1962,2005,174000
920,941.0,3.0,No,700,GLQ,216,492,RFn,2002.0,1861,Gd,13450,95.0,0.0,91,5,7,916,2002,2002,200000
551,551.0,2.0,No,239,GLQ,312,480,Unf,2004.0,1102,Gd,5105,69.0,0.0,60,5,7,551,2004,2004,148800
774,656.0,3.0,No,0,None,384,400,RFn,2000.0,1430,TA,9967,76.0,0.0,0,5,7,384,2000,2000,170000
1005,0.0,2.0,No,0,Unf,1005,672,Unf,1977.0,1005,Fa,10434,60.0,0.0,0,5,4,1005,1955,1955,115000
616,495.0,3.0,Mn,236,LwQ,0,200,Unf,1941.0,1111,TA,9084,60.0,0.0,0,6,5,616,1941,1950,95000
1328,653.0,4.0,No,622,BLQ,500,576,Unf,1981.0,1981,Gd,7804,65.0,0.0,44,3,4,1122,1928,1950,135000
1391,571.0,3.0,Mn,464,GLQ,927,868,RFn,2006.0,1962,Gd,8760,73.0,0.0,90,5,7,1391,2006,2006,239799
1241,0.0,1.0,No,1106,GLQ,135,569,None,2007.0,1241,Gd,4274,35.0,0.0,116,5,7,1241,2006,2007,199900
807,702.0,3.0,No,457,GLQ,326,393,Fin,2002.0,1509,Gd,7861,69.0,0.0,75,5,6,783,2002,2003,183200
1272,928.0,4.0,No,1084,ALQ,188,0,None,1980.0,2200,TA,8777,67.0,0.0,70,7,5,1272,1900,2003,145900
495,1427.0,4.0,None,0,None,0,672,RFn,2003.0,1922,Gd,7301,64.0,500.0,0,5,7,0,2003,2003,198500
950,208.0,3.0,No,0,Unf,862,208,RFn,1929.0,1158,TA,6000,50.0,0.0,0,7,6,862,1929,1950,120000
1375,0.0,2.0,No,0,Unf,1367,451,Unf,1954.0,1375,TA,11310,75.0,0.0,30,5,6,1367,1954,1954,140000
1504,0.0,1.0,No,16,GLQ,1330,457,Fin,2005.0,1504,Gd,3182,43.0,16.0,0,5,7,1346,2005,2006,181000
958,581.0,3.0,No,0,Unf,650,686,Unf,1983.0,1539,Gd,10440,60.0,0.0,78,8,5,650,1904,2002,157500
1664,0.0,4.0,None,0,None,0,0,None,1980.0,1664,TA,9825,75.0,0.0,0,5,5,0,1965,1965,100000
2042,0.0,3.0,No,0,None,2042,1390,RFn,2009.0,2042,Ex,12704,98.0,306.0,90,5,8,2042,2008,2009,253293
616,1072.0,4.0,Gd,462,GLQ,154,603,RFn,1997.0,1688,Gd,12798,79.0,0.0,114,5,6,616,1997,1997,200000
1381,0.0,3.0,No,982,ALQ,179,676,None,1972.0,1381,Gd,9360,78.0,0.0,0,7,6,1161,1972,2006,197500
1056,0.0,3.0,Mn,1056,Rec,0,572,Fin,1955.0,1056,TA,34650,100.0,0.0,0,5,5,1056,1955,1955,145000
802,709.0,3.0,Av,714,GLQ,88,413,Fin,1997.0,1511,TA,11207,70.0,0.0,75,5,6,802,1997,1997,185000
1080,1017.0,3.0,No,50,BLQ,499,678,None,1993.0,2097,Gd,11228,59.0,0.0,187,5,7,1080,1993,1993,228000
1121,0.0,3.0,No,651,Rec,470,480,Unf,1963.0,1121,TA,8816,80.0,0.0,80,6,5,1121,1963,1963,139000
1320,0.0,3.0,Av,328,LwQ,285,564,None,1966.0,1320,TA,11777,96.0,97.0,68,6,5,1164,1966,1966,164500
2028,0.0,2.0,Gd,1460,GLQ,408,880,RFn,2005.0,2028,Gd,11443,88.0,208.0,66,5,8,1868,2005,2006,369900
864,0.0,3.0,Av,390,ALQ,474,352,Unf,1989.0,864,TA,7180,60.0,0.0,0,7,5,864,1972,1972,127000
848,0.0,1.0,Gd,662,GLQ,186,420,Fin,2004.0,848,Gd,4438,69.0,169.0,0,5,6,848,2004,2004,144500
808,785.0,3.0,No,0,Unf,808,389,RFn,1993.0,1593,TA,9636,69.0,0.0,40,5,6,808,1992,1993,178000
483,504.0,2.0,No,0,Unf,483,288,Unf,1972.0,987,TA,1680,21.0,297.0,0,5,6,483,1972,1972,94500
1574,0.0,3.0,No,24,GLQ,1550,824,RFn,2006.0,1574,Gd,11957,75.0,53.0,104,5,8,1574,2006,2006,232000
576,533.0,3.0,Av,349,ALQ,23,288,Unf,1971.0,1109,TA,10500,70.0,82.0,0,7,5,372,1971,2005,139000
720,564.0,2.0,No,312,LwQ,408,240,Unf,1948.0,1284,TA,3500,50.0,0.0,35,7,5,720,1947,1950,110000
772,351.0,3.0,No,0,Unf,732,264,Unf,1979.0,1123,TA,6060,50.0,0.0,0,5,4,732,1939,1950,100000
943,933.0,4.0,No,442,ALQ,459,540,RFn,1974.0,1876,Gd,9120,76.0,270.0,69,6,6,901,1974,1974,185000
738,0.0,3.0,No,193,GLQ,545,540,Fin,2005.0,1476,Gd,8633,64.0,0.0,35,5,6,738,2005,2005,173500
764,0.0,2.0,No,0,Unf,680,504,Unf,1965.0,764,TA,5232,30.0,0.0,0,5,5,680,1925,2004,73000
783,701.0,3.0,No,0,None,783,393,Fin,2005.0,1484,Gd,10237,65.0,0.0,72,5,6,783,2005,2007,178900
1419,0.0,2.0,Av,945,None,474,567,RFn,2007.0,1419,Gd,8089,60.0,0.0,0,6,8,1419,2007,2007,392000
1143,1330.0,4.0,Av,0,Unf,1143,852,None,2004.0,2473,Gd,9591,76.0,344.0,151,5,8,1143,2004,2005,317000
1203,1323.0,4.0,No,740,GLQ,425,844,None,1994.0,2526,Gd,10120,92.0,391.0,78,5,8,1165,1994,1994,290000
1325,1093.0,3.0,Gd,1173,GLQ,138,983,RFn,1993.0,2418,Gd,10542,96.0,651.0,154,5,7,1311,1993,1994,341000
1320,1320.0,4.0,No,0,Unf,1240,864,Unf,1950.0,2640,Gd,11700,65.0,0.0,0,7,7,1240,1880,2003,265979
1324,0.0,2.0,No,863,GLQ,461,550,Fin,2006.0,1324,Gd,6240,48.0,176.0,38,5,8,1324,2006,2006,254000
789,0.0,2.0,No,104,ALQ,516,250,Unf,1948.0,789,TA,6000,50.0,0.0,0,5,5,789,1948,1950,115000
2113,0.0,2.0,Gd,1696,GLQ,413,839,Fin,1995.0,2113,Gd,10437,91.0,660.0,46,6,8,2109,1995,1995,350000
1079,840.0,3.0,Av,0,Unf,1079,685,RFn,2006.0,1919,Gd,15611,120.0,0.0,51,5,8,1079,2006,2006,233230
1319,0.0,3.0,No,428,BLQ,0,270,Unf,1953.0,1319,TA,10634,79.0,0.0,0,6,5,608,1953,1953,123000
1575,626.0,4.0,Av,0,None,697,432,Unf,1966.0,2201,Gd,19690,69.0,0.0,236,7,6,697,1966,1966,274970
838,0.0,2.0,Mn,210,Rec,0,275,Fin,1961.0,838,Fa,10267,55.0,0.0,0,7,6,816,1918,2000,130000
1215,0.0,3.0,No,585,Rec,630,297,Unf,1958.0,1215,TA,12400,66.0,176.0,0,7,6,1215,1958,1998,155000
1742,590.0,3.0,Av,1280,GLQ,402,846,Fin,2008.0,2332,Ex,12474,96.0,272.0,134,5,10,1682,2007,2008,426000
1717,0.0,3.0,Av,0,Unf,1709,908,RFn,2006.0,1717,Gd,11146,87.0,250.0,39,5,8,1709,2006,2006,255500
854,0.0,2.0,No,360,Rec,360,660,None,1991.0,1382,TA,12358,69.0,0.0,0,6,5,720,1941,1950,128500
624,720.0,4.0,No,0,Unf,624,513,Unf,1916.0,1344,TA,4571,34.0,0.0,0,5,5,624,1916,1950,98000
1728,0.0,6.0,No,231,LwQ,1497,576,Unf,1987.0,1728,TA,13101,74.0,108.0,0,5,5,1728,1965,1965,142600
1236,0.0,3.0,No,465,BLQ,447,288,Unf,1961.0,1236,TA,6993,65.0,0.0,0,7,5,912,1961,1994,135000
1500,0.0,3.0,Av,1070,GLQ,286,648,Fin,2006.0,1500,Gd,4045,53.0,45.0,20,5,7,1356,2006,2006,246578
1670,0.0,3.0,No,0,Unf,1670,690,RFn,2006.0,1670,Gd,14859,50.0,27.0,60,5,7,1670,2006,2006,240000
1040,0.0,3.0,No,616,Rec,424,0,None,1980.0,1040,TA,8430,60.0,136.0,0,5,5,1040,1978,1978,124000
1555,0.0,2.0,Av,16,GLQ,1357,430,Fin,2005.0,1555,Gd,3182,43.0,16.0,20,5,7,1373,2005,2006,192500
912,0.0,2.0,Av,773,GLQ,115,470,RFn,1978.0,912,TA,7540,69.0,0.0,0,6,6,888,1978,1978,156000
961,0.0,3.0,No,216,ALQ,540,642,Unf,1998.0,1717,Gd,9550,60.0,0.0,35,5,7,756,1915,1970,140000
1164,0.0,3.0,No,1040,ALQ,124,240,Unf,1950.0,1164,TA,10880,68.0,0.0,48,5,5,1164,1950,1950,125000
1656,0.0,4.0,No,0,Unf,1656,506,Unf,1973.0,1656,TA,9246,87.0,564.0,211,5,5,1656,1973,1973,135000
757,0.0,3.0,No,549,ALQ,195,440,Unf,1999.0,1501,TA,2280,24.0,360.0,0,5,7,744,1999,1999,179400
1580,886.0,4.0,No,0,Unf,1580,610,RFn,2004.0,2466,Gd,11143,102.0,0.0,214,5,8,1580,2004,2005,340000
1173,0.0,3.0,Gd,885,GLQ,0,528,RFn,1974.0,1173,Gd,10625,85.0,81.0,120,6,7,1053,1974,1974,170000
1800,0.0,2.0,No,0,Unf,1800,702,Fin,2007.0,1800,Ex,11923,122.0,0.0,136,5,9,1800,2007,2007,239000
1153,0.0,4.0,No,692,GLQ,153,484,RFn,1983.0,2353,Ex,13005,94.0,278.0,195,7,7,845,1980,1980,260000
1080,0.0,3.0,No,680,GLQ,400,0,None,1980.0,1080,Gd,7500,63.0,120.0,0,5,7,1080,2004,2005,141000
1314,0.0,3.0,No,24,GLQ,1290,440,RFn,2006.0,1314,Gd,9317,78.0,0.0,22,5,6,1314,2006,2006,176432
1232,0.0,3.0,No,660,BLQ,572,516,Unf,1984.0,1232,TA,11120,69.0,0.0,0,6,6,1232,1984,1984,162500
1041,0.0,3.0,No,991,ALQ,50,270,RFn,1959.0,1041,TA,9600,80.0,132.0,88,6,5,1041,1959,1959,124500
970,0.0,2.0,No,630,GLQ,340,624,Unf,1996.0,970,TA,8480,80.0,0.0,24,6,5,970,1963,1963,132500
810,855.0,3.0,No,643,GLQ,167,528,Fin,2001.0,1665,Gd,8400,70.0,0.0,45,6,8,810,2001,2001,227000
966,686.0,4.0,No,686,LwQ,0,416,Unf,1961.0,1652,TA,10800,60.0,0.0,0,6,5,686,1915,1950,139000
764,862.0,2.0,No,567,GLQ,197,474,RFn,2003.0,1626,Gd,2268,36.0,106.0,27,5,7,764,2003,2004,173000
1282,1414.0,4.0,Av,984,GLQ,280,792,None,2007.0,2696,Ex,9965,77.0,220.0,184,5,7,1264,2007,2007,383970
2020,0.0,4.0,None,0,None,0,630,Unf,1977.0,2020,TA,8400,60.0,320.0,0,5,5,0,1977,1977,144000
1337,0.0,2.0,No,1201,GLQ,36,405,Fin,1998.0,1337,TA,4500,32.0,443.0,199,5,6,1237,1998,1998,153500
1098,866.0,4.0,No,403,None,400,483,RFn,1976.0,1964,TA,10480,80.0,660.0,69,6,7,803,1976,1976,205000
1728,0.0,6.0,No,1332,Rec,396,504,Unf,1963.0,1728,TA,9100,70.0,336.0,0,5,5,1728,1963,1963,125000
1028,776.0,3.0,No,0,Unf,994,442,Fin,1999.0,1804,Gd,7500,60.0,0.0,60,5,7,994,1999,1999,189000
1507,0.0,4.0,No,666,ALQ,409,404,Unf,1960.0,1507,TA,7910,70.0,0.0,0,5,5,1075,1960,1960,127000
1095,0.0,2.0,Gd,513,ALQ,75,264,None,1958.0,1095,TA,10382,75.0,105.0,0,5,6,588,1958,1958,140000
1075,1063.0,2.0,No,0,Unf,849,360,Unf,1910.0,2138,TA,8100,90.0,0.0,156,5,5,849,1898,1965,106000
1476,677.0,3.0,Mn,904,GLQ,536,736,Fin,2000.0,2153,Ex,11050,69.0,204.0,142,5,9,1440,2000,2000,313000
984,620.0,3.0,No,408,None,156,660,Unf,1977.0,1604,TA,10998,60.0,0.0,68,5,5,984,1941,1960,117000
1120,850.0,3.0,Mn,0,Unf,1085,753,Fin,2006.0,1970,Ex,11065,86.0,788.0,74,5,8,1085,2006,2006,281000
1959,0.0,5.0,No,0,Unf,1907,766,Unf,1989.0,1959,TA,11070,82.0,70.0,0,5,7,1907,1988,1989,171000
1402,0.0,2.0,Av,0,Unf,1258,648,Fin,2006.0,1402,Gd,3922,53.0,72.0,16,5,7,1258,2006,2007,194201
1573,0.0,3.0,No,788,GLQ,785,544,RFn,2002.0,1573,Gd,9808,67.0,110.0,72,5,7,1573,2002,2002,227000
1088,871.0,3.0,Av,0,Unf,1088,1025,RFn,2006.0,1959,Gd,9000,75.0,0.0,46,5,8,1088,2006,2006,270000
952,0.0,2.0,Mn,852,ALQ,100,840,Unf,1988.0,952,TA,7350,60.0,0.0,0,7,5,952,1951,1951,139000
1301,0.0,2.0,No,0,Unf,1293,572,RFn,2006.0,1301,Gd,7200,60.0,0.0,121,5,7,1293,2006,2006,187750
728,728.0,3.0,Av,0,Unf,728,400,Fin,2007.0,1456,Gd,9018,65.0,0.0,24,5,7,728,2007,2007,179540
1262,0.0,3.0,Gd,978,ALQ,284,460,RFn,1976.0,1262,TA,9600,80.0,0.0,0,8,6,1262,1976,1976,181500
1699,748.0,4.0,No,0,Unf,804,336,Unf,1969.0,2447,Gd,9638,50.0,0.0,0,7,6,804,1919,1990,169000
