1stFlrSF,2ndFlrSF,BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageArea,GarageFinish,GarageYrBlt,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,YearRemodAdd
1721,0.0,3.0,No,570,Rec,891,440,RFn,1968.0,1721,TA,10335,78.0,0.0,96,6,5,1461,1968,1993
1535,0.0,3.0,No,2,GLQ,1515,532,RFn,2004.0,1535,Gd,10171,70.0,168.0,0,5,7,1517,2004,2004
1541,0.0,3.0,No,0,Unf,1541,843,RFn,2001.0,1541,Gd,13704,118.0,150.0,81,5,7,1541,2001,2002
697,672.0,3.0,No,551,BLQ,121,300,,1930.0,1369,TA,6629,54.0,0.0,0,6,6,672,1925,1950
1494,0.0,3.0,Gd,1200,GLQ,279,576,RFn,1997.0,1494,Gd,9236,79.0,0.0,27,5,6,1479,1997,1997
1008,0.0,2.0,No,486,BLQ,522,275,,1954.0,1008,TA,11425,69.0,0.0,0,6,5,1008,1954,1954
807,702.0,3.0,No,0,Unf,783,393,Fin,2003.0,1509,Gd,7875,63.0,0.0,75,5,7,783,2003,2003
858,0.0,3.0,No,614,BLQ,244,0,,1980.0,858,TA,8125,69.0,0.0,0,4,4,858,1971,1971
2000,704.0,4.0,Gd,1410,,542,538,Fin,1972.0,2704,Ex,13860,75.0,0.0,111,7,8,1952,1972,1995
1422,1177.0,4.0,No,0,Unf,1393,779,Fin,1999.0,2599,Gd,14774,108.0,165.0,30,5,9,1393,1999,1999
1468,0.0,3.0,No,0,Unf,1468,898,Fin,2008.0,1468,Gd,9612,74.0,72.0,150,5,8,1468,2008,2009
948,0.0,3.0,No,492,ALQ,372,248,Unf,1954.0,948,TA,10215,75.0,132.0,0,5,4,864,1954,1954
694,600.0,3.0,,0,,0,0,,1980.0,1294,TA,10800,60.0,0.0,114,7,4,0,1900,2000
854,0.0,2.0,No,0,Unf,832,576,Unf,1991.0,854,TA,6120,51.0,0.0,112,8,7,832,1929,2001
1148,568.0,3.0,No,292,LwQ,476,281,Unf,1949.0,1716,TA,11409,60.0,0.0,0,4,5,768,1949,2008
1625,0.0,2.0,Gd,1573,,0,538,,2006.0,1625,Gd,4750,44.0,481.0,0,5,8,1573,2006,2007
1002,0.0,3.0,No,828,BLQ,174,902,Unf,1973.0,1002,TA,8750,69.0,76.0,0,6,5,1002,1970,1970
820,527.0,3.0,Gd,969,GLQ,148,0,,1980.0,1347,TA,7000,70.0,0.0,0,7,5,1117,1910,1991
936,0.0,2.0,No,0,Unf,936,576,Unf,1974.0,936,TA,6000,60.0,0.0,32,4,4,936,1953,1953
1003,0.0,3.0,Av,819,GLQ,184,588,,1984.0,1003,TA,7937,37.0,0.0,0,6,6,1003,1984,1984
1644,0.0,3.0,No,1285,GLQ,131,418,Fin,1953.0,1644,TA,9600,80.0,238.0,0,5,6,1416,1953,1953
901,901.0,4.0,No,352,LwQ,441,216,Unf,1920.0,1802,TA,7588,54.0,0.0,0,6,7,793,1920,1950
1838,0.0,2.0,Av,1260,GLQ,578,765,,2006.0,1838,Ex,14601,85.0,584.0,68,5,9,1838,2006,2006
948,0.0,3.0,No,732,Rec,216,280,,1956.0,948,TA,8190,60.0,0.0,36,6,4,948,1954,1954
1555,0.0,2.0,No,0,Unf,1373,660,Fin,2007.0,1555,Gd,3684,53.0,130.0,20,5,7,1373,2007,2007
786,390.0,2.0,No,0,Unf,698,624,Unf,1999.0,1176,TA,6000,50.0,0.0,0,9,6,698,1937,2000
1337,0.0,3.0,Mn,699,GLQ,638,531,RFn,2003.0,1337,Gd,8450,65.0,0.0,39,5,7,1337,2003,2003
841,806.0,4.0,No,0,Unf,806,216,Unf,1920.0,1647,Fa,6858,66.0,0.0,66,4,6,806,1915,1950
1130,1054.0,3.0,Av,936,GLQ,168,836,Fin,2008.0,2184,Ex,11308,96.0,154.0,102,5,9,1104,2008,2008
1382,0.0,3.0,Gd,672,Rec,0,884,Unf,1991.0,1382,TA,19296,120.0,399.0,0,5,6,1362,1962,1962
1535,0.0,4.0,,0,,0,410,Unf,1979.0,1535,TA,7018,64.0,0.0,0,5,5,0,1979,1979
1422,0.0,3.0,No,0,Unf,978,286,RFn,1960.0,1422,TA,12342,69.0,0.0,0,5,5,978,1960,1978
1077,0.0,2.0,No,0,Unf,961,338,Unf,1920.0,1077,TA,8967,60.0,0.0,0,2,5,961,1920,1950
912,0.0,3.0,No,842,ALQ,70,336,Unf,1974.0,912,TA,8521,70.0,0.0,0,5,5,912,1967,1967
1357,0.0,2.0,Av,719,ALQ,300,312,RFn,1959.0,1357,Ex,11512,124.0,84.0,0,7,6,1019,1959,2006
796,0.0,2.0,No,0,Unf,796,0,,1980.0,796,TA,8777,67.0,0.0,0,7,5,796,1910,1950
1500,0.0,3.0,Av,20,GLQ,1480,570,RFn,2004.0,1500,Gd,8487,63.0,210.0,36,5,7,1500,2004,2004
1306,954.0,3.0,Gd,1201,GLQ,105,533,,1996.0,2260,Gd,14000,80.0,0.0,44,5,7,1306,1996,1997
1363,0.0,2.0,Gd,226,LwQ,96,439,Unf,1954.0,1363,TA,39104,73.0,0.0,0,7,7,1385,1954,2005
1266,0.0,3.0,No,0,Unf,1257,453,Unf,2005.0,1266,Gd,7500,62.0,0.0,144,5,7,1257,2005,2005
2207,0.0,3.0,Gd,912,GLQ,1035,576,RFn,1970.0,2207,TA,19900,69.0,287.0,0,5,7,1947,1970,1989
1604,0.0,3.0,No,1334,GLQ,270,660,RFn,2006.0,1604,Gd,8814,68.0,180.0,110,5,7,1604,2006,2006
1015,0.0,3.0,No,489,Rec,279,450,Unf,1925.0,1015,TA,6120,51.0,0.0,0,7,5,768,1925,1950
1651,0.0,3.0,No,1398,ALQ,0,616,Fin,1986.0,1651,TA,12416,47.0,132.0,0,5,6,1606,1986,1986
1657,0.0,3.0,No,1237,LwQ,420,484,Unf,1970.0,1657,TA,12155,69.0,0.0,0,3,6,1657,1970,1970
2402,0.0,2.0,Gd,1767,GLQ,788,672,Fin,2008.0,2402,Ex,15431,105.0,200.0,72,5,10,3094,2008,2008
2234,0.0,1.0,No,1904,GLQ,312,1166,Fin,2009.0,2234,Ex,17423,63.0,748.0,60,5,9,2216,2008,2009
1159,0.0,3.0,No,673,BLQ,378,336,Unf,1968.0,1159,TA,11553,69.0,188.0,0,5,5,1051,1968,1968
600,600.0,2.0,No,0,Unf,600,480,RFn,2004.0,1200,Gd,3182,30.0,0.0,172,5,7,600,2004,2005
1060,0.0,3.0,Mn,188,Rec,204,270,Unf,1968.0,1060,Gd,8246,69.0,0.0,90,8,5,1060,1968,2001
1091,898.0,3.0,Mn,932,GLQ,133,586,Fin,2002.0,1989,Gd,11367,90.0,210.0,60,5,8,1065,2002,2002
1253,0.0,3.0,No,0,Unf,1237,402,Fin,1995.0,1253,TA,7875,63.0,38.0,21,5,7,1237,1995,1996
1092,1020.0,4.0,Mn,500,ALQ,176,576,Unf,1969.0,2112,TA,11075,85.0,0.0,0,5,6,952,1969,1969
1212,0.0,3.0,Av,506,ALQ,0,492,Unf,1978.0,1212,TA,8471,88.0,46.0,12,7,6,506,1977,1995
707,682.0,3.0,No,0,Unf,651,240,Unf,1947.0,1389,TA,3378,60.0,0.0,0,8,7,651,1946,1992
1811,0.0,2.0,No,296,ALQ,230,470,Fin,1956.0,1811,Ex,14115,90.0,0.0,0,7,6,1073,1956,2004
880,844.0,3.0,Av,0,Unf,880,527,Fin,1998.0,1724,Gd,8924,57.0,0.0,155,5,7,880,1998,1999
630,0.0,1.0,Av,131,BLQ,0,0,,1980.0,630,TA,1936,21.0,0.0,0,6,4,630,1970,1970
684,684.0,3.0,No,0,Unf,684,216,Unf,1930.0,1368,TA,3600,60.0,0.0,158,7,6,684,1910,1993
1048,0.0,3.0,No,586,BLQ,462,286,Unf,1956.0,1048,TA,10152,72.0,120.0,20,5,5,1048,1956,1956
1370,1254.0,4.0,No,1128,BLQ,242,864,Unf,1918.0,2624,TA,22420,86.0,0.0,0,6,6,1370,1918,1950
882,0.0,3.0,,0,,0,294,RFn,1959.0,882,TA,8339,69.0,0.0,0,7,5,0,1959,1959
856,854.0,3.0,No,706,GLQ,150,548,RFn,2003.0,1710,Gd,8450,65.0,196.0,61,5,7,856,2003,2003
1358,0.0,2.0,Av,720,GLQ,638,484,RFn,2004.0,1358,Gd,8198,59.0,146.0,30,5,7,1358,2004,2004
1012,778.0,4.0,No,247,Rec,485,484,RFn,1972.0,1790,TA,10400,80.0,288.0,0,5,6,732,1972,1972
1131,0.0,3.0,No,168,Rec,739,672,Unf,1995.0,1131,TA,5925,50.0,435.0,72,7,4,907,1937,2000
1632,0.0,3.0,No,620,Rec,0,338,RFn,1958.0,1632,TA,9600,80.0,183.0,0,6,6,1240,1958,1988
770,812.0,3.0,No,490,GLQ,280,520,RFn,2004.0,1582,Gd,8320,64.0,0.0,45,5,7,770,2004,2004
780,595.0,3.0,No,0,,780,544,Unf,1979.0,1375,Gd,9000,50.0,0.0,162,6,6,780,1937,1950
1236,0.0,2.0,No,600,GLQ,312,923,,1957.0,1236,TA,7407,90.0,0.0,158,7,6,912,1957,1996
1216,941.0,4.0,No,445,Rec,479,487,,1966.0,2157,Gd,14200,88.0,309.0,66,6,7,924,1966,1966
1349,0.0,3.0,No,0,,1349,539,Unf,2000.0,1349,TA,8450,65.0,108.0,55,5,7,1349,2000,2001
1771,0.0,3.0,,0,,0,336,Unf,1960.0,1771,TA,21750,100.0,75.0,0,4,5,0,1960,2006
912,546.0,3.0,No,0,Unf,912,330,Unf,1948.0,1458,TA,17503,78.0,0.0,0,5,6,912,1948,1950
1194,0.0,3.0,No,0,Unf,1194,312,RFn,1959.0,1194,TA,8760,73.0,220.0,0,6,6,1194,1959,1959
1416,0.0,3.0,No,0,Unf,816,576,Unf,2007.0,1416,Gd,25339,69.0,0.0,0,7,5,816,1918,2007
1728,0.0,4.0,Gd,936,Rec,396,574,Unf,1976.0,1728,TA,12640,55.0,0.0,0,5,6,1728,1976,1976
1042,534.0,3.0,No,0,Unf,1042,225,Unf,1928.0,1576,TA,6240,52.0,0.0,0,6,5,1042,1928,1950
1050,745.0,4.0,No,0,Unf,1050,352,Unf,1954.0,1795,TA,12150,81.0,335.0,0,5,5,1050,1954,1954
2020,0.0,3.0,No,1436,GLQ,570,900,Fin,2009.0,2020,Ex,12220,94.0,305.0,54,5,10,2006,2009,2009
1040,0.0,3.0,No,369,LwQ,671,286,RFn,1959.0,1040,TA,7560,70.0,0.0,0,5,5,1040,1959,1959
980,734.0,3.0,No,394,,586,496,Unf,1988.0,1714,TA,10421,80.0,42.0,66,5,7,980,1988,1988
3138,1538.0,3.0,Gd,2260,GLQ,878,884,Fin,2007.0,4676,Ex,40094,130.0,762.0,406,5,10,3138,2007,2008
757,567.0,3.0,No,672,BLQ,0,240,Unf,1936.0,1324,TA,6000,50.0,0.0,0,6,4,672,1936,1950
1795,0.0,3.0,No,0,,1777,534,RFn,2002.0,1795,Gd,9742,75.0,281.0,159,5,8,1777,2002,2002
616,796.0,3.0,No,0,Unf,616,432,Fin,2007.0,1412,Gd,8499,73.0,0.0,36,5,6,616,2006,2007
1622,0.0,3.0,Av,1159,BLQ,90,1356,Fin,1975.0,1622,TA,32463,69.0,149.0,0,4,4,1249,1961,1975
1072,0.0,2.0,Gd,547,GLQ,0,525,Fin,2005.0,1072,TA,3675,35.0,80.0,28,5,5,547,2005,2005
2076,0.0,2.0,Gd,1386,GLQ,690,850,,2006.0,2076,Ex,13891,107.0,0.0,229,5,10,2076,2006,2006
1668,0.0,3.0,Av,1059,GLQ,567,702,,2002.0,1668,Gd,11248,90.0,215.0,45,5,9,1626,2002,2002
1547,720.0,2.0,,0,,0,672,Unf,1979.0,2320,TA,14762,69.0,0.0,144,6,5,0,1948,1950
1694,0.0,3.0,Av,0,Unf,1694,776,,2008.0,1694,Gd,10475,64.0,72.0,33,5,8,1694,2008,2008
866,913.0,3.0,Av,0,Unf,866,546,RFn,1998.0,1779,Gd,10400,80.0,0.0,36,5,7,866,1998,1998
1264,1312.0,4.0,No,0,Unf,1234,666,Fin,2006.0,2576,Ex,12438,82.0,466.0,100,5,8,1234,2006,2006
1216,0.0,2.0,No,897,GLQ,319,402,Unf,1998.0,1216,TA,4500,32.0,116.0,125,5,6,1216,1998,1998
1277,0.0,2.0,Gd,778,GLQ,499,526,Unf,1970.0,1277,TA,10628,85.0,0.0,0,5,7,1277,1970,1970
864,729.0,3.0,No,759,GLQ,80,398,,2004.0,1593,TA,7415,62.0,0.0,75,5,6,839,2004,2004
990,0.0,3.0,No,716,ALQ,274,576,Unf,1996.0,990,TA,13568,43.0,0.0,0,5,5,990,1995,1995
988,0.0,2.0,No,0,,988,520,RFn,1954.0,988,TA,21750,100.0,0.0,0,5,5,988,1954,1954
960,780.0,3.0,No,410,BLQ,390,240,Unf,1940.0,1740,TA,13125,75.0,0.0,0,6,7,800,1940,1984
792,725.0,3.0,No,0,Unf,792,400,Unf,1931.0,1517,Gd,11435,69.0,0.0,0,7,8,792,1929,1950
900,0.0,3.0,Av,769,ALQ,95,288,RFn,1967.0,900,TA,7838,68.0,0.0,144,5,5,864,1967,1967
546,546.0,3.0,No,334,BLQ,212,286,RFn,1973.0,1092,TA,1974,69.0,0.0,96,5,4,546,1973,1973
1047,0.0,2.0,No,0,Unf,641,273,Unf,1954.0,1047,TA,10800,60.0,0.0,0,7,4,641,1885,1995
1456,0.0,2.0,Gd,0,Unf,1273,400,Fin,2003.0,1456,Gd,3196,69.0,40.0,20,5,8,1273,2003,2003
752,0.0,2.0,No,623,ALQ,0,264,Unf,1984.0,752,TA,7175,50.0,0.0,0,5,6,744,1984,1984
1700,0.0,3.0,Av,340,GLQ,1342,544,RFn,2003.0,1700,Gd,9135,70.0,120.0,23,5,6,1682,2003,2003
1128,0.0,3.0,Mn,776,ALQ,344,525,RFn,1963.0,1128,TA,8700,80.0,148.0,20,6,5,1120,1963,1963
676,455.0,3.0,No,0,Unf,676,200,Unf,1941.0,1131,TA,5720,52.0,0.0,0,6,5,676,1941,1950
2898,0.0,2.0,Av,1165,ALQ,0,665,Fin,1976.0,2898,Gd,15498,69.0,0.0,72,6,8,1565,1976,1976
1616,0.0,3.0,Av,0,Unf,1616,834,RFn,2005.0,1616,Gd,8688,73.0,228.0,59,5,7,1616,2005,2005
1181,0.0,3.0,Av,920,BLQ,38,588,RFn,1974.0,1181,TA,10012,90.0,0.0,0,5,4,1138,1972,1972
858,858.0,4.0,No,319,Rec,539,490,Fin,1962.0,1716,TA,9247,70.0,318.0,84,6,6,858,1962,1962
1464,0.0,3.0,Gd,929,GLQ,556,754,Unf,2007.0,1464,Gd,15256,49.0,84.0,160,5,8,1485,2007,2007
1630,0.0,3.0,No,0,,1630,451,Unf,2000.0,1630,Gd,9750,75.0,171.0,234,5,7,1630,2000,2001
1505,0.0,2.0,No,1024,,481,505,RFn,1953.0,1505,TA,12160,128.0,90.0,0,4,6,1505,1953,1953
1182,960.0,3.0,No,448,Rec,448,509,Fin,1968.0,2142,Gd,13000,100.0,576.0,72,6,6,896,1968,1968
896,448.0,3.0,No,0,Unf,896,240,,1936.0,1344,TA,6240,69.0,0.0,114,4,5,896,1936,1950
1478,0.0,3.0,No,1270,BLQ,208,498,Unf,1960.0,1478,TA,17600,69.0,30.0,40,5,6,1478,1960,1960
1437,0.0,3.0,Gd,1157,ALQ,280,528,RFn,1976.0,1437,Gd,10768,90.0,0.0,21,8,5,1437,1976,2004
1082,871.0,3.0,Mn,0,Unf,1082,1043,RFn,2005.0,1953,Gd,10574,85.0,0.0,50,5,8,1082,2005,2006
1127,850.0,4.0,No,442,Rec,374,540,RFn,1964.0,1977,TA,9500,100.0,272.0,52,6,6,816,1964,1978
1689,0.0,3.0,No,0,Unf,1436,480,Unf,1956.0,1689,TA,9855,73.0,0.0,0,5,6,1436,1956,1956
970,739.0,3.0,No,0,Unf,970,380,Unf,2004.0,1709,Gd,2522,24.0,50.0,40,5,7,970,2004,2004
1557,0.0,2.0,Gd,0,Unf,1374,420,Fin,2003.0,1557,Gd,3196,69.0,18.0,20,5,7,1374,2003,2004
1166,0.0,3.0,No,0,Unf,1064,240,Unf,1936.0,1639,TA,10480,51.0,0.0,0,5,6,1064,1936,1950
1040,0.0,2.0,,0,,0,420,Unf,1956.0,1040,TA,7200,60.0,0.0,0,5,4,0,1949,1950
860,1100.0,4.0,No,625,GLQ,235,440,Fin,2002.0,1960,Gd,7851,69.0,0.0,48,5,6,860,2002,2002
1294,0.0,2.0,Av,0,Unf,1286,662,RFn,2006.0,1294,Gd,6762,64.0,0.0,55,5,7,1286,2006,2006
894,0.0,3.0,No,492,BLQ,402,450,,1968.0,894,TA,8724,109.0,0.0,0,5,5,894,1968,1968
1116,0.0,3.0,No,0,Unf,1116,440,Unf,1962.0,1116,TA,10000,87.0,261.0,0,6,6,1116,1962,1962
1792,0.0,2.0,Gd,1567,GLQ,225,874,Fin,2003.0,1792,Ex,11846,72.0,562.0,49,5,9,1792,2003,2004
1164,0.0,3.0,No,0,Unf,1164,528,Unf,1969.0,1164,TA,9600,80.0,168.0,0,5,7,1164,1969,1969
1165,0.0,3.0,Gd,312,Rec,276,490,RFn,1966.0,1165,TA,9020,82.0,183.0,129,7,6,1127,1966,1966
1056,0.0,3.0,No,846,Rec,210,308,RFn,1958.0,1056,TA,8176,70.0,0.0,0,6,5,1056,1958,1992
725,754.0,3.0,No,533,GLQ,192,475,RFn,1976.0,1479,Gd,13517,69.0,289.0,44,8,6,725,1976,2005
848,0.0,1.0,Av,662,GLQ,186,420,,2004.0,848,Gd,4426,69.0,169.0,0,5,6,848,2004,2004
1094,0.0,3.0,Mn,500,Rec,594,495,,1953.0,1094,TA,10452,85.0,216.0,0,5,6,1094,1953,1953
988,0.0,1.0,Gd,938,ALQ,0,540,Unf,1969.0,988,TA,21453,69.0,0.0,130,5,6,938,1969,1969
845,0.0,3.0,,0,,0,290,Unf,1957.0,845,TA,11500,69.0,0.0,0,3,4,0,1957,1957
974,0.0,3.0,Mn,212,BLQ,762,0,,1980.0,974,TA,10712,63.0,0.0,28,5,5,974,1991,1992
1262,0.0,3.0,No,905,GLQ,357,572,,2006.0,1262,Gd,7200,60.0,68.0,120,5,6,1262,2006,2006
1496,0.0,3.0,Av,0,Unf,1496,474,,2007.0,1496,Gd,9158,76.0,140.0,130,5,8,1496,2007,2007
832,878.0,3.0,No,426,GLQ,406,506,RFn,1993.0,1710,Gd,9291,76.0,120.0,70,5,6,832,1993,1993
1392,0.0,3.0,No,1040,Rec,352,458,RFn,1957.0,1392,TA,11900,80.0,387.0,0,5,6,1392,1957,1957
689,703.0,3.0,No,378,GLQ,311,299,Fin,1977.0,1392,TA,10900,69.0,153.0,36,7,6,689,1977,1977
977,755.0,3.0,No,0,,741,476,Fin,1985.0,1732,Gd,9206,77.0,336.0,46,5,6,741,1985,1985
956,1128.0,4.0,No,656,GLQ,300,618,RFn,2004.0,2084,Gd,10142,76.0,0.0,45,5,7,956,2004,2004
1190,0.0,3.0,Av,803,ALQ,303,540,,1962.0,1190,TA,7728,70.0,120.0,18,6,5,1106,1962,1962
996,0.0,2.0,Av,747,GLQ,189,564,Unf,1992.0,996,Gd,9069,73.0,0.0,0,6,6,936,1992,1992
1392,0.0,3.0,No,1302,,90,528,Unf,1957.0,1392,TA,11341,69.0,180.0,0,6,5,1392,1957,1996
1334,0.0,2.0,No,686,ALQ,664,630,RFn,1977.0,1334,TA,9650,80.0,360.0,16,5,6,1350,1977,1977
948,742.0,3.0,No,0,Unf,924,463,RFn,2000.0,1690,TA,8063,69.0,0.0,48,5,6,924,2000,2000
864,0.0,3.0,No,191,ALQ,673,463,Unf,1994.0,864,TA,8120,70.0,0.0,0,7,4,864,1970,1970
1034,0.0,3.0,Av,539,GLQ,473,888,Unf,1976.0,1034,TA,12328,69.0,335.0,0,5,6,1012,1976,1976
802,670.0,3.0,No,0,Unf,384,402,RFn,1991.0,1472,Gd,10784,69.0,76.0,0,5,7,384,1991,1992
815,875.0,3.0,No,0,Unf,815,225,,1916.0,1690,TA,8850,65.0,0.0,0,6,7,815,1916,1950
1112,438.0,2.0,No,812,GLQ,280,438,Fin,2007.0,1550,Gd,8125,65.0,100.0,168,5,7,1092,2006,2007
832,809.0,3.0,No,16,LwQ,712,546,Unf,1925.0,1641,Ex,9600,60.0,0.0,0,7,7,728,1925,1990
1679,0.0,3.0,No,1138,GLQ,270,575,RFn,1994.0,1679,Gd,8125,65.0,258.0,42,5,6,1408,1994,1998
1572,0.0,3.0,Gd,1159,Rec,413,995,RFn,1963.0,1572,TA,35133,50.0,226.0,263,4,5,1572,1963,1963
1012,0.0,2.0,No,0,Unf,1012,308,Unf,1920.0,1012,TA,8263,59.0,0.0,22,5,6,1012,1920,1950
779,640.0,3.0,No,353,GLQ,55,527,Fin,2002.0,1419,Gd,7750,69.0,0.0,0,5,8,408,2002,2002
1660,0.0,3.0,Mn,1220,GLQ,440,500,RFn,2006.0,1660,Gd,10182,85.0,420.0,50,5,8,1660,2006,2006
1022,752.0,2.0,No,0,Unf,952,468,Unf,1931.0,1774,TA,6120,51.0,0.0,0,5,7,952,1931,1950
1142,878.0,3.0,No,584,GLQ,544,466,RFn,1995.0,2020,Gd,9828,80.0,0.0,155,5,8,1128,1995,1995
1490,1304.0,4.0,No,689,,773,810,Fin,1995.0,2794,Ex,15138,174.0,506.0,146,5,8,1462,1995,1996
